Category,Subcategory,URI
south-america,brazil,quic://ip6.casa2.mywire.org:44443?key=000000003cb1cc50e05147fc548f6d1f78e7ffcdc67b456f9bb0db6f0a5e4723
south-america,chile,tcp://ygg.nadeko.net:44441
south-america,chile,tls://ygg.nadeko.net:44442
south-america,chile,tcp://satori.nadeko.net:44441
south-america,chile,tls://satori.nadeko.net:44442
south-america,chile,tcp://ygg-1.okade.pro:20000
mena,saudi-arabia,tcp://jed-peer.ygg.sy.sa:8441
mena,saudi-arabia,tls://jed-peer.ygg.sy.sa:8442
mena,saudi-arabia,quic://jed-peer.ygg.sy.sa:8443
mena,saudi-arabia,tcp://ryd-peer.ygg.sy.sa:8441
mena,saudi-arabia,tls://ryd-peer.ygg.sy.sa:8442
mena,saudi-arabia,quic://ryd-peer.ygg.sy.sa:8443
europe,ukraine,tcp://193.93.119.42:14244
europe,ukraine,tls://193.93.119.42:443
europe,ukraine,quic://193.93.119.42:1443
europe,ukraine,ws://193.93.119.42:850
europe,ukraine,tcp://78.27.153.163:33165
europe,ukraine,tls://78.27.153.163:33166
europe,ukraine,tls://78.27.153.163:3785
europe,ukraine,tls://78.27.153.163:3784
europe,ukraine,tls://78.27.153.163:179
europe,ukraine,quic://yggdrasil.sunsung.fun:4441
europe,ukraine,tcp://yggdrasil.sunsung.fun:4442
europe,ukraine,tls://yggdrasil.sunsung.fun:4443
europe,ukraine,quic://176.117.187.69:64537
europe,ukraine,tcp://176.117.187.69:64536
europe,ukraine,tls://176.117.187.69:64535
europe,slovakia,tcp://y.zbin.eu:7743
europe,slovakia,tls://ygg-ke.8px.sk:4321
europe,slovakia,quic://ygg-ke.8px.sk:4321
europe,czechia,tls://37.205.14.171:993
europe,czechia,tls://[2a03:3b40:fe:ab::1]:993
europe,france,tcp://51.15.204.214:12345
europe,france,tls://51.15.204.214:54321
europe,france,tcp://s2.i2pd.xyz:39565
europe,france,tcp://62.210.85.80:39565
europe,france,tcp://[2001:470:1f13:e56::64]:39565
europe,france,tls://s2.i2pd.xyz:39575
europe,france,tls://62.210.85.80:39575
europe,france,tls://[2001:470:1f13:e56::64]:39575
europe,france,tls://yggpeer.tilde.green:59454
europe,france,tcp://yggpeer.tilde.green:53299
europe,france,quic://yggpeer.tilde.green:62265
europe,france,tls://ygg.jholden.org:1555
europe,france,tcp://ygg6.mk16.de:1337?key=0000005e5ced06fd4d465bc651c5deb6d70cbe82d36efb68c0450268eaaa5384
europe,france,tls://ygg6.mk16.de:1338?key=0000005e5ced06fd4d465bc651c5deb6d70cbe82d36efb68c0450268eaaa5384
europe,france,quic://ygg6.mk16.de:1339?key=0000005e5ced06fd4d465bc651c5deb6d70cbe82d36efb68c0450268eaaa5384
